NOTE: Follows only available for FEED/CAROUSEL — Instagram does not provide this metric for Reels. For Reels use Reach + Total Interactions. ⭐ = matched against influencer list.,,,,,,,,,,,
Post Date,Type,Influencer Collab,Caption (preview),Link,Follows (Feed only),Reach,Likes,Saves,Shares,Total Interactions,Profile Visits
2026-06-05,FEED,,Thoughtfully engineered in Japan to comfortably ease the body’s natural movements throughout the nig...,https://www.instagram.com/p/DZNrUhcmJsQ/,0,149,5,3,7,21,5
2026-06-05,FEED,,Thoughtfully engineered in Japan to comfortably ease the body’s natural movements throughout the nig...,https://www.instagram.com/p/DZNrUhcmJsQ/,0,153,5,3,7,21,5
2026-06-05,FEED,,Thoughtfully engineered in Japan to comfortably ease the body’s natural movements throughout the nig...,https://www.instagram.com/p/DZNrUhcmJsQ/,0,161,5,3,7,21,5
2026-06-05,FEED,,Thoughtfully engineered in Japan to comfortably ease the body’s natural movements throughout the nig...,https://www.instagram.com/p/DZNrUhcmJsQ/,0,164,6,3,7,22,5
2026-06-05,FEED,,Thoughtfully engineered in Japan to comfortably ease the body’s natural movements throughout the nig...,https://www.instagram.com/p/DZNrUhcmJsQ/,0,168,6,3,7,22,5
2026-06-05,FEED,,Thoughtfully engineered in Japan to comfortably ease the body’s natural movements throughout the nig...,https://www.instagram.com/p/DZNrUhcmJsQ/,0,171,6,4,7,23,5
2026-06-05,FEED,,Thoughtfully engineered in Japan to comfortably ease the body’s natural movements throughout the nig...,https://www.instagram.com/p/DZNrUhcmJsQ/,0,177,6,4,7,23,5
2026-06-05,FEED,,Thoughtfully engineered in Japan to comfortably ease the body’s natural movements throughout the nig...,https://www.instagram.com/p/DZNrUhcmJsQ/,0,181,7,4,7,24,5
2026-06-05,FEED,,Thoughtfully engineered in Japan to comfortably ease the body’s natural movements throughout the nig...,https://www.instagram.com/p/DZNrUhcmJsQ/,0,182,7,4,7,24,5
2026-06-05,FEED,,Thoughtfully engineered in Japan to comfortably ease the body’s natural movements throughout the nig...,https://www.instagram.com/p/DZNrUhcmJsQ/,0,190,7,4,7,24,5
2026-06-03,FEED,,"Our story began with a single goal: to revolutionize sleep. We knew the key was a better mattress, s...",https://www.instagram.com/p/DZIXA03lDlI/,0,20,4,3,5,16,1
2026-06-03,FEED,,"Our story began with a single goal: to revolutionize sleep. We knew the key was a better mattress, s...",https://www.instagram.com/p/DZIXA03lDlI/,0,101,6,3,5,18,2
2026-06-03,FEED,,"Our story began with a single goal: to revolutionize sleep. We knew the key was a better mattress, s...",https://www.instagram.com/p/DZIXA03lDlI/,0,125,6,3,5,18,2
2026-06-03,FEED,,"Our story began with a single goal: to revolutionize sleep. We knew the key was a better mattress, s...",https://www.instagram.com/p/DZIXA03lDlI/,0,132,6,4,5,19,2
2026-06-03,FEED,,"Our story began with a single goal: to revolutionize sleep. We knew the key was a better mattress, s...",https://www.instagram.com/p/DZIXA03lDlI/,0,139,6,4,5,19,2
2026-06-03,FEED,,"Our story began with a single goal: to revolutionize sleep. We knew the key was a better mattress, s...",https://www.instagram.com/p/DZIXA03lDlI/,0,145,6,4,5,19,2
2026-06-03,FEED,,"Our story began with a single goal: to revolutionize sleep. We knew the key was a better mattress, s...",https://www.instagram.com/p/DZIXA03lDlI/,0,148,6,4,5,19,2
2026-06-03,FEED,,"Our story began with a single goal: to revolutionize sleep. We knew the key was a better mattress, s...",https://www.instagram.com/p/DZIXA03lDlI/,0,159,6,4,5,19,2
2026-06-03,FEED,,"Our story began with a single goal: to revolutionize sleep. We knew the key was a better mattress, s...",https://www.instagram.com/p/DZIXA03lDlI/,0,166,6,4,5,19,2
2026-06-03,FEED,,"Our story began with a single goal: to revolutionize sleep. We knew the key was a better mattress, s...",https://www.instagram.com/p/DZIXA03lDlI/,0,167,6,4,5,19,2
2026-06-03,FEED,,"Our story began with a single goal: to revolutionize sleep. We knew the key was a better mattress, s...",https://www.instagram.com/p/DZIXA03lDlI/,0,172,6,4,5,19,2
2026-06-03,FEED,,"Our story began with a single goal: to revolutionize sleep. We knew the key was a better mattress, s...",https://www.instagram.com/p/DZIXA03lDlI/,0,176,6,4,5,19,2
2026-06-03,FEED,,"Our story began with a single goal: to revolutionize sleep. We knew the key was a better mattress, s...",https://www.instagram.com/p/DZIXA03lDlI/,0,191,6,4,5,19,2
2026-06-03,FEED,,"Our story began with a single goal: to revolutionize sleep. We knew the key was a better mattress, s...",https://www.instagram.com/p/DZIXA03lDlI/,0,194,6,4,5,19,2
2026-06-03,FEED,,"Our story began with a single goal: to revolutionize sleep. We knew the key was a better mattress, s...",https://www.instagram.com/p/DZIXA03lDlI/,0,195,6,4,5,19,2
2026-06-03,FEED,,"Our story began with a single goal: to revolutionize sleep. We knew the key was a better mattress, s...",https://www.instagram.com/p/DZIXA03lDlI/,0,198,6,4,5,19,2
2026-06-01,FEED,,"More coils, more comfort 🌀 Our artisans are obsessed with crafting the best sleep experience. With 4...",https://www.instagram.com/p/DZDUqb9Gk_V/,0,80,5,4,4,18,2
